NTACode,Borough,Growth Factor,NTA Name,Population - 2010,Population - 2011,Population - 2012,Population - 2013,Population - 2014,Population - 2015,Population - 2016,Population - 2017,Population - 2018,Population - 2019,Population - 2020
BX41,Bronx,0.045,Mount Hope,52649,55018.0,57494.0,60081.0,62785.0,65610.0,68563.0,71648.0,74872.0,78241.0,81762.0
BX43,Bronx,0.045,Norwood,40817,42654.0,44573.0,46579.0,48675.0,50865.0,53154.0,55546.0,58046.0,60658.0,63388.0
BX44,Bronx,0.045,Williamsbridge-Olinville,57420,60004.0,62704.0,65526.0,68474.0,71556.0,74776.0,78141.0,81657.0,85332.0,89172.0
BX46,Bronx,0.045,Parkchester,29353,30674.0,32054.0,33497.0,35004.0,36579.0,38225.0,39945.0,41743.0,43621.0,45584.0
BX49,Bronx,0.045,Pelham Parkway,30006,31356.0,32767.0,34242.0,35783.0,37393.0,39076.0,40834.0,42672.0,44592.0,46598.0
BX52,Bronx,0.045,Schuylerville-Throgs Neck-Edgewater Park,43712,45679.0,47735.0,49883.0,52127.0,54473.0,56924.0,59486.0,62163.0,64960.0,67883.0
BX55,Bronx,0.045,Soundview-Bruckner,35137,36718.0,38370.0,40097.0,41902.0,43787.0,45758.0,47817.0,49968.0,52217.0,54567.0
BX59,Bronx,0.045,Westchester-Unionport,25768,26928.0,28139.0,29406.0,30729.0,32112.0,33557.0,35067.0,36645.0,38294.0,40017.0
BX62,Bronx,0.045,Woodlawn-Wakefield,43583,45544.0,47594.0,49735.0,51974.0,54312.0,56756.0,59310.0,61979.0,64768.0,67683.0
BX63,Bronx,0.045,West Concourse,39557,41337.0,43197.0,45141.0,47172.0,49295.0,51514.0,53832.0,56254.0,58785.0,61431.0
BX75,Bronx,0.045,Crotona Park East,18072,18885.0,19735.0,20623.0,21551.0,22521.0,23534.0,24593.0,25700.0,26857.0,28065.0
BX98,Bronx,0.045,Rikers Island,12780,13355.0,13956.0,14584.0,15240.0,15926.0,16643.0,17392.0,18174.0,18992.0,19847.0
BX99,Bronx,0.045,park-cemetery-etc-Bronx,540,564.0,590.0,616.0,644.0,673.0,703.0,735.0,768.0,802.0,839.0
BK09,Brooklyn,0.037,Brooklyn Heights-Cobble Hill,22548,23382.0,24247.0,25145.0,26075.0,27040.0,28040.0,29078.0,30154.0,31269.0,32426.0
BK17,Brooklyn,0.037,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,64596,66986.0,69465.0,72035.0,74700.0,77464.0,80330.0,83302.0,86384.0,89581.0,92895.0
BK19,Brooklyn,0.037,Brighton Beach,35244,36548.0,37900.0,39303.0,40757.0,42265.0,43829.0,45450.0,47132.0,48876.0,50684.0
BK21,Brooklyn,0.037,Seagate-Coney Island,34267,35535.0,36850.0,38213.0,39627.0,41093.0,42614.0,44190.0,45825.0,47521.0,49279.0
BK23,Brooklyn,0.037,West Brighton,17370,18013.0,18679.0,19370.0,20087.0,20830.0,21601.0,22400.0,23229.0,24088.0,24980.0
BK25,Brooklyn,0.037,Homecrest,45679,47369.0,49122.0,50939.0,52824.0,54779.0,56805.0,58907.0,61087.0,63347.0,65691.0
BK26,Brooklyn,0.037,Gravesend,29257,30340.0,31462.0,32626.0,33833.0,35085.0,36383.0,37730.0,39125.0,40573.0,42074.0
BK27,Brooklyn,0.037,Bath Beach,28572,29629.0,30725.0,31862.0,33041.0,34264.0,35531.0,36846.0,38209.0,39623.0,41089.0
BK28,Brooklyn,0.037,Bensonhurst West,84640,87772.0,91019.0,94387.0,97879.0,101501.0,105256.0,109151.0,113189.0,117377.0,121720.0
BK29,Brooklyn,0.037,Bensonhurst East,58566,60733.0,62980.0,65310.0,67727.0,70233.0,72831.0,75526.0,78321.0,81218.0,84223.0
BK30,Brooklyn,0.037,Dyker Heights,39332,40787.0,42296.0,43861.0,45484.0,47167.0,48912.0,50722.0,52599.0,54545.0,56563.0
BK31,Brooklyn,0.037,Bay Ridge,80539,83519.0,86609.0,89814.0,93137.0,96583.0,100156.0,103862.0,107705.0,111690.0,115823.0
BK32,Brooklyn,0.037,Sunset Park West,52312,54248.0,56255.0,58336.0,60495.0,62733.0,65054.0,67461.0,69957.0,72545.0,75230.0
BK33,Brooklyn,0.037,Carroll Gardens-Columbia Street-Red Hook,38327,39745.0,41216.0,42741.0,44322.0,45962.0,47663.0,49426.0,51255.0,53151.0,55118.0
BK34,Brooklyn,0.037,Sunset Park East,66150,68598.0,71136.0,73768.0,76497.0,79327.0,82263.0,85306.0,88463.0,91736.0,95130.0
BK35,Brooklyn,0.037,Stuyvesant Heights,61827,64115.0,66487.0,68947.0,71498.0,74143.0,76887.0,79731.0,82681.0,85741.0,88913.0
BK37,Brooklyn,0.037,Park Slope-Gowanus,67263,69752.0,72333.0,75009.0,77784.0,80662.0,83647.0,86742.0,89951.0,93279.0,96731.0
BK38,Brooklyn,0.037,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,30847,31988.0,33172.0,34399.0,35672.0,36992.0,38361.0,39780.0,41252.0,42778.0,44361.0
BK40,Brooklyn,0.037,Windsor Terrace,20779,21548.0,22345.0,23172.0,24029.0,24918.0,25840.0,26796.0,27788.0,28816.0,29882.0
BK41,Brooklyn,0.037,Kensington-Ocean Parkway,36937,38304.0,39721.0,41191.0,42715.0,44295.0,45934.0,47634.0,49396.0,51224.0,53119.0
BK42,Brooklyn,0.037,Flatbush,110875,114977.0,119232.0,123643.0,128218.0,132962.0,137882.0,142983.0,148274.0,153760.0,159449.0
BK43,Brooklyn,0.037,Midwood,55440,57491.0,59618.0,61824.0,64112.0,66484.0,68944.0,71495.0,74140.0,76883.0,79728.0
BK44,Brooklyn,0.037,Madison,39076,40522.0,42021.0,43576.0,45188.0,46860.0,48594.0,50392.0,52256.0,54190.0,56195.0
BK45,Brooklyn,0.037,Georgetown-Marine Park-Bergen Beach-Mill Basin,42940,44529.0,46176.0,47885.0,49657.0,51494.0,53399.0,55375.0,57424.0,59549.0,61752.0
BK46,Brooklyn,0.037,Ocean Parkway South,20556,21317.0,22105.0,22923.0,23771.0,24651.0,25563.0,26509.0,27490.0,28507.0,29561.0
BK50,Brooklyn,0.037,Canarsie,85058,88205.0,91469.0,94853.0,98363.0,102002.0,105776.0,109690.0,113748.0,117957.0,122321.0
BK58,Brooklyn,0.037,Flatlands,66726,69195.0,71755.0,74410.0,77163.0,80018.0,82979.0,86049.0,89233.0,92535.0,95958.0
BK60,Brooklyn,0.037,Prospect Lefferts Gardens-Wingate,70300,72901.0,75598.0,78396.0,81296.0,84304.0,87423.0,90658.0,94012.0,97491.0,101098.0
BK61,Brooklyn,0.037,Crown Heights North,103462,107290.0,111260.0,115376.0,119645.0,124072.0,128663.0,133423.0,138360.0,143479.0,148788.0
BK63,Brooklyn,0.037,Crown Heights South,42370,43938.0,45563.0,47249.0,48997.0,50810.0,52690.0,54640.0,56662.0,58758.0,60932.0
BK64,Brooklyn,0.037,Prospect Heights,19655,20382.0,21136.0,21918.0,22729.0,23570.0,24442.0,25347.0,26285.0,27257.0,28266.0
BK68,Brooklyn,0.037,Fort Greene,28335,29383.0,30471.0,31598.0,32767.0,33980.0,35237.0,36541.0,37893.0,39295.0,40748.0
BK69,Brooklyn,0.037,Clinton Hill,33292,34524.0,35801.0,37126.0,38499.0,39924.0,41401.0,42933.0,44522.0,46169.0,47877.0
BK72,Brooklyn,0.037,Williamsburg,32269,33463.0,34701.0,35985.0,37316.0,38697.0,40129.0,41614.0,43153.0,44750.0,46406.0
BK73,Brooklyn,0.037,North Side-South Side,40130,41615.0,43155.0,44751.0,46407.0,48124.0,49905.0,51751.0,53666.0,55652.0,57711.0
